Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
194	0	-430.391	-413.28	-17.1113	591827.2	5.22878	0.998348	0.999577	1.00042	1.00165	3.608237
195	1	-426.53	-421.596	-4.93446	828145.1	13.85637	0.998604	0.999643	1.00036	1.0014	2.679278
196	0	-415.372	-408.611	-6.76131	120951	12.12003	0.996347	0.999064	1.00093	1.00366	2.87796
197	1	-427.275	-420.341	-6.93378	789348.4	8.952051	0.99857	0.999634	1.00037	1.00143	2.869598
198	0	-427.409	-416.495	-10.9139	100293.1	7.703647	0.995989	0.998972	1.00102	1.00402	3.240324
199	1	-424.734	-414.931	-9.80336	359545.5	8.064304	0.997881	0.999458	1.00054	1.00212	3.135988
200	0	-427.004	-414.684	-12.3203	427387.5	9.434491	0.998056	0.999503	1.0005	1.00195	3.467169
201	1	-432.445	-417.852	-14.5925	786123.8	7.175305	0.998567	0.999633	1.00037	1.00143	3.679569
202	0	-412.478	-405.373	-7.10497	172691.5	12.33099	0.996943	0.999217	1.00078	1.00306	2.899352
203	1	-437.608	-420.212	-17.3957	140744.8	6.655407	0.996614	0.999133	1.00086	1.00339	4.030866
204	0	-418.922	-408.538	-10.3833	745830	10.50129	0.998529	0.999624	1.00038	1.00147	3.24682
205	1	-413.08	-407.731	-5.34875	887216.8	14.29286	0.998651	0.999655	1.00034	1.00135	2.691942
206	0	-420.429	-413.459	-6.96997	863161.8	10.84394	0.998632	0.99965	1.00035	1.00137	2.920847
207	1	-425.46	-410.504	-14.9558	873396.7	7.923921	0.99864	0.999652	1.00035	1.00136	3.772197
208	0	-427.101	-420.516	-6.5848	213946.4	11.49665	0.997253	0.999297	1.0007	1.00275	2.877934
209	1	-413.849	-407.454	-6.39496	389268.6	9.977738	0.997963	0.999479	1.00052	1.00204	2.858811
210	0	-419.75	-410.7	-9.05017	240839.9	12.26047	0.997411	0.999337	1.00066	1.00259	3.060398
211	1	-417	-407.766	-9.23422	344619.6	11.05698	0.997836	0.999446	1.00055	1.00217	3.123562
212	0	-418.498	-420.621	2.12244	939676.7	14.03487	0.998689	0.999665	1.00033	1.00131	2.169942
213	1	-429.978	-417.331	-12.6471	952836.3	8.948911	0.998698	0.999667	1.00033	1.0013	3.507819
214	0	-428.91	-421.843	-7.06655	400355.6	9.524648	0.997992	0.999486	1.00051	1.00201	2.913814
215	1	-434.039	-422.665	-11.3734	80142.11	7.604418	0.995514	0.99885	1.00114	1.00449	3.289384
216	0	-427.833	-423.484	-4.34861	530450.2	9.537696	0.998255	0.999554	1.00045	1.00175	2.629323
217	1	-409.893	-407.554	-2.33892	753549.3	11.38041	0.998536	0.999626	1.00037	1.00146	2.506818
218	0	-424.059	-414.462	-9.59762	603191.6	8.908171	0.998364	0.999581	1.00042	1.00164	3.16555
219	1	-413.242	-406.765	-6.4763	202798.3	16.86367	0.997179	0.999278	1.00072	1.00282	2.641607
220	0	-424.816	-414.294	-10.5221	337665	9.898703	0.997813	0.99944	1.00056	1.00219	3.273663
221	1	-412.448	-409.501	-2.94752	639595.8	9.249554	0.998411	0.999594	1.00041	1.00159	2.456539
222	0	-422.284	-409.347	-12.9375	131903.1	11.09081	0.996502	0.999104	1.00089	1.0035	3.456415
223	1	-422.025	-415.771	-6.25306	19782.68	11.77936	0.990977	0.997677	1.00229	1.00905	2.843957
224	0	-424.255	-413.66	-10.5952	947680.2	12.72067	0.998695	0.999666	1.00033	1.00131	3.159497
225	1	-418.769	-413.211	-5.5586	132368.1	13.096	0.996508	0.999105	1.00089	1.0035	2.751895
226	0	-426.035	-412.944	-13.0902	325175	7.478391	0.997772	0.99943	1.00057	1.00223	3.504018
227	1	-422.242	-407.948	-14.2937	475310.3	9.646888	0.998157	0.999528	1.00047	1.00184	3.667154
228	0	-424.773	-417.89	-6.88289	691729.7	9.130757	0.998472	0.999609	1.00039	1.00153	2.875385
229	1	-429.372	-411.439	-17.933	162720.4	7.37312	0.996851	0.999193	1.0008	1.00315	4.150265
230	0	-424.334	-415.286	-9.04809	110941.9	8.329013	0.996186	0.999023	1.00097	1.00382	3.067251
231	1	-437.778	-412.633	-25.1454	77882.94	7.667459	0.995449	0.998833	1.00116	1.00456	5.092396
232	0	-433.162	-418.566	-14.5967	104391.6	7.306435	0.996069	0.998992	1.001	1.00394	3.692313
233	1	-423.126	-409.184	-13.942	402387.5	8.926654	0.997997	0.999487	1.00051	1.002	3.652922
234	0	-425.332	-413.704	-11.6273	305320.4	12.34445	0.997701	0.999412	1.00059	1.0023	3.265237
235	1	-430.234	-422.81	-7.42379	1239.766	11.87213	0.964134	0.99055	1.00899	1.03633	2.940589
236	0	-416.471	-413.154	-3.31709	295915	12.26314	0.997664	0.999402	1.0006	1.00234	2.592769
237	1	-427.308	-413.96	-13.3481	336698.4	7.274731	0.99781	0.99944	1.00056	1.00219	3.517913
238	0	-412.987	-410.203	-2.78408	547984.1	18.18128	0.998283	0.999561	1.00044	1.00172	2.369144
239	1	-415.478	-414.809	-0.668936	10131.73	12.34134	0.9874	0.996746	1.0032	1.01266	2.377494
240	0	-407.628	-406.672	-0.956741	771095.6	12.30661	0.998553	0.99963	1.00037	1.00145	2.400598
241	1	-433.394	-420.414	-12.9805	910283.5	8.45556	0.998668	0.999659	1.00034	1.00133	3.54227
242	0	-424.296	-411.32	-12.9764	60877.88	8.731091	0.994853	0.998679	1.00131	1.00516	3.544897
243	1	-429.091	-416.201	-12.8892	585181.4	10.68707	0.998339	0.999575	1.00042	1.00166	3.475533
