Iteration	Posterior	Likelihood	Prior	mu_morpho
498	-62.3397	-62.337	-0.00274078	0.002740783
499	-61.5093	-61.5071	-0.00220791	0.002207911
500	-61.5093	-61.5071	-0.00220791	0.002207911
501	-61.5093	-61.5071	-0.00220791	0.002207911
502	-62.4263	-62.4235	-0.00278203	0.002782034
503	-61.8982	-61.8957	-0.00250305	0.002503047
504	-61.8608	-61.8583	-0.00247983	0.002479835
505	-62.4931	-62.4902	-0.00281302	0.002813022
506	-62.4931	-62.4902	-0.00281302	0.002813022
507	-62.4931	-62.4902	-0.00281302	0.002813022
508	-61.484	-61.4818	-0.00218078	0.002180778
509	-61.484	-61.4818	-0.00218078	0.002180778
510	-61.399	-61.3973	-0.00171918	0.001719184
511	-62.1612	-62.1599	-0.00128988	0.001289877
512	-61.3577	-61.3559	-0.00180552	0.001805522
513	-61.3577	-61.3559	-0.00180552	0.001805522
514	-62.7798	-62.7769	-0.00293914	0.002939142
515	-61.7164	-61.7149	-0.00146735	0.00146735
516	-61.7164	-61.7149	-0.00146735	0.00146735
517	-61.5884	-61.5869	-0.0015419	0.001541895
