Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_invar	pi[1]	pi[2]	pi[3]	pi[4]	pop_size	root_height
138	-1721.86	-1402.01	-319.846	0.0307623	0.754215	0.0299331	0.00291177	0.124118	0.0580603	0.3146991	0.3396	0.26422	0.131983	0.264196	95625.06	176850.7
139	-1723.55	-1402.36	-321.188	0.0307623	0.754215	0.0299331	0.00291177	0.124118	0.0580603	0.1289763	0.3396	0.26422	0.131983	0.264196	106834.4	261903.1
140	-1726.53	-1403.45	-323.075	0.0592191	0.536802	0.0562373	0.00547053	0.233189	0.109082	0.1289763	0.336596	0.261883	0.139662	0.261859	106834.4	199666.1
141	-1736.74	-1407.04	-329.696	0.0632003	0.521229	0.060018	0.00653448	0.232603	0.116415	0.1289763	0.336596	0.261883	0.139662	0.261859	127948.5	216054.9
142	-1729.36	-1408.08	-321.283	0.0471914	0.589133	0.0536902	0.0042694	0.201574	0.104141	0.1289763	0.336596	0.261883	0.139662	0.261859	126157.3	114587.7
143	-1725.64	-1404.75	-320.887	0.0486882	0.607819	0.0553931	0.00440482	0.17625	0.107445	0.1289763	0.336596	0.261883	0.139662	0.261859	136470.9	124961.8
144	-1736.27	-1405.22	-331.052	0.0486882	0.607819	0.0553931	0.00440482	0.17625	0.107445	0.1289763	0.336596	0.261883	0.139662	0.261859	202675.8	211507.7
145	-1737.96	-1404.94	-333.014	0.0579887	0.601084	0.0547793	0.00559693	0.174297	0.106254	0.1289763	0.336596	0.261883	0.139662	0.261859	207248.8	251255.3
146	-1725.05	-1404.2	-320.845	0.0242906	0.658207	0.0733428	0.0054836	0.190861	0.0478145	0.06429206	0.324376	0.266707	0.142234	0.266683	121074.9	146783.6
147	-1733.54	-1404.74	-328.805	0.0226113	0.612702	0.0682723	0.00302461	0.236919	0.0564705	0.2089764	0.324376	0.266707	0.142234	0.266683	163069	187358.7
148	-1731.38	-1401.59	-329.791	0.0137883	0.617866	0.0694328	0.00305011	0.238916	0.0569465	0.2977625	0.31933	0.262558	0.140022	0.278089	154893.8	153492.6
149	-1734.23	-1402.55	-331.682	0.00953268	0.635748	0.0441365	0.00615788	0.24583	0.0585945	0.2977625	0.31616	0.259951	0.148561	0.275328	157301.5	152788.6
150	-1730.27	-1403.51	-326.762	0.00991256	0.661083	0.0458954	0.00640327	0.215776	0.0609296	0.2977625	0.31616	0.259951	0.148561	0.275328	152361.9	184655.7
